,missing_count,missing_pct
AboveGradeFinishedArea,426361,100.0
BusinessType,426361,100.0
TaxAnnualAmount,426361,100.0
TaxYear,426361,100.0
MiddleOrJuniorSchoolDistrict,426361,100.0
ElementarySchoolDistrict,426361,100.0
FireplacesTotal,426361,100.0
CoveredSpaces,426361,100.0
WaterfrontYN,426087,99.94
BelowGradeFinishedArea,423870,99.42
BasementYN,418026,98.05
LotSizeDimensions,405644,95.14
BuilderName,405415,95.09
BuildingAreaTotal,396456,92.99
CoBuyerAgentFirstName,387541,90.9
ElementarySchool,369782,86.73
OriginatingSystemName,369545,86.67
OriginatingSystemSubName,369545,86.67
MiddleOrJuniorSchool,369395,86.64
BuyerAgencyCompensation,369046,86.56
BuyerAgencyCompensationType,369033,86.55
HighSchool,352364,82.64
lonfilled,351283,82.39
latfilled,351283,82.39
CoListAgentFirstName,328606,77.07
CoListAgentLastName,328350,77.01
CoListOfficeName,325493,76.34
SubdivisionName,267612,62.77
AssociationFeeFrequency,248427,58.27
MainLevelBedrooms,178871,41.95
Flooring,153205,35.93
HighSchoolDistrict,117196,27.49
AssociationFee,97264,22.81
Stories,65480,15.36
AttachedGarageYN,65169,15.28
BuyerAgentAOR,63300,14.85
ListAgentAOR,57381,13.46
MLSAreaMajor,56979,13.36
Levels,40866,9.58
PoolPrivateYN,36471,8.55
ViewYN,36288,8.51
LotSizeAcres,33567,7.87
LotSizeSquareFeet,33148,7.77
LotSizeArea,33013,7.74
NewConstructionYN,31711,7.44
BuyerOfficeAOR,24690,5.79
GarageSpaces,18309,4.29
ListAgentEmail,13372,3.14
Longitude,13325,3.13
Latitude,13325,3.13
BuyerOfficeName,6889,1.62
ListAgentFirstName,3161,0.74
BuyerAgentFirstName,2070,0.49
PropertySubType,828,0.19
OriginalListPrice,789,0.19
ContractStatusChangeDate,594,0.14
BuyerAgentMlsId,558,0.13
StreetNumberNumeric,490,0.11
ParkingTotal,430,0.1
YearBuilt,380,0.09
UnparsedAddress,401,0.09
FireplaceYN,343,0.08
City,316,0.07
LivingArea,238,0.06
PurchaseContractDate,195,0.05
BuyerAgentLastName,188,0.04
BathroomsTotalInteger,69,0.02
ListAgentFullName,104,0.02
ListAgentLastName,44,0.01
PostalCode,2,0.0
ClosePrice,2,0.0
ListingContractDate,1,0.0
BedroomsTotal,12,0.0
